gender,mode,acc_phon,phr_phon,fin_phon,l_grand_mean_t,h_grand_mean_t,l_f0_z,h_f0_z,f0_exc_z,lh_slope
F,MWH,L*H,% H* L*H L*H %,%,111,381,-0.45496750232126465,1.067780872794799,1.5227483751160638,13.936
F,MWH,L*H,% H* L*!H L*H %,%,105,352,-0.9145775301764155,0.9470752089136454,1.861652739090061,19.296
F,MWH,L*H,% H* L*!H L*H %,%,119,351,-1.2720519962859773,0.38532961931290544,1.6573816155988828,19.259
F,MWH,L*H,% H* L*!H L*H %,%,93,339,-1.207056638811511,0.5571030640668537,1.7641597028783647,16.682
F,MYN,L*H,%H L*!H L*H %,%,119,304,-0.7567316620241391,0.9935004642525537,1.7502321262766927,22.162
F,MYN,L*H,%H L*!H L*H %,%,122,327,-1.5598885793871864,0.21819870009285,1.7780872794800364,21.04
F,MYN,L*H,%H L*H L*H %,%,112,304,-0.8031569173630474,0.6592386258124427,1.4623955431754903,19.19
F,MYN,L*H,%H L*H L*H %,%,89,287,-0.8170844939647192,1.3370473537604437,2.154131847725163,25.8
F,MYN,L*H,%H L*H L*H %,%,100,309,-1.3416898792943364,0.31104921077066006,1.6527390900649963,19.407
F,MYN,L*H,% (*) L*H %,%,137,281,-1.508820798514392,0.06499535747446637,1.5738161559888584,29.024
F,MYN,L*H,%H (*) L*H %,%,137,272,-1.1188486536675937,0.9517177344475382,2.070566388115132,46.369
F,MYN,L*H,%H (*) L*H %,%,108,264,-1.1095636025998146,0.3528319405756756,1.4623955431754903,24.942
F,MYN,L*H,% H* (*) L*H %,%,148,242,-1.0213556174558973,0.3296193129062181,1.3509749303621155,35.042
